period_start,period_end,namespace,persistentvolumeclaim_usage_bytes
2020-02-08 20:00:00 +0000 UTC,2020-02-08 21:00:00 +0000 UTC,openshift-metering,2155794432.000000
2020-02-08 20:00:00 +0000 UTC,2020-02-08 21:00:00 +0000 UTC,tnhlex-dev,20414799872.000000
2020-02-08 21:00:00 +0000 UTC,2020-02-08 22:00:00 +0000 UTC,openshift-logging,11641297543168.000000
2020-02-08 21:00:00 +0000 UTC,2020-02-08 22:00:00 +0000 UTC,openshift-metering,2196848640.000000
2020-02-08 21:00:00 +0000 UTC,2020-02-08 22:00:00 +0000 UTC,tnhlex-dev,13172674560.000000
2020-02-08 22:00:00 +0000 UTC,2020-02-08 23:00:00 +0000 UTC,openshift-logging,11686124101632.000000
2020-02-08 22:00:00 +0000 UTC,2020-02-08 23:00:00 +0000 UTC,openshift-metering,2196848640.000000
2020-02-08 22:00:00 +0000 UTC,2020-02-08 23:00:00 +0000 UTC,tnhlex-dev,20166250496.000000
2020-02-08 23:00:00 +0000 UTC,2020-02-09 00:00:00 +0000 UTC,openshift-logging,11775331946496.000000
2020-02-08 23:00:00 +0000 UTC,2020-02-09 00:00:00 +0000 UTC,openshift-metering,2196848640.000000
2020-02-08 23:00:00 +0000 UTC,2020-02-09 00:00:00 +0000 UTC,tnhlex-dev,20177731584.000000
2020-02-09 00:00:00 +0000 UTC,2020-02-09 01:00:00 +0000 UTC,openshift-logging,11818293673984.000000
2020-02-09 00:00:00 +0000 UTC,2020-02-09 01:00:00 +0000 UTC,openshift-metering,2196848640.000000
2020-02-09 00:00:00 +0000 UTC,2020-02-09 01:00:00 +0000 UTC,tnhlex-dev,20189188096.000000
2020-02-09 01:00:00 +0000 UTC,2020-02-09 02:00:00 +0000 UTC,openshift-logging,11859395846144.000000
2020-02-09 01:00:00 +0000 UTC,2020-02-09 02:00:00 +0000 UTC,openshift-metering,1632374784.000000
2020-02-09 01:00:00 +0000 UTC,2020-02-09 02:00:00 +0000 UTC,tnhlex-dev,20200542208.000000
2020-02-09 02:00:00 +0000 UTC,2020-02-09 03:00:00 +0000 UTC,openshift-logging,11939340644352.000000
2020-02-09 02:00:00 +0000 UTC,2020-02-09 03:00:00 +0000 UTC,openshift-metering,1628160000.000000
2020-02-09 02:00:00 +0000 UTC,2020-02-09 03:00:00 +0000 UTC,tnhlex-dev,20211978240.000000
2020-02-09 03:00:00 +0000 UTC,2020-02-09 04:00:00 +0000 UTC,openshift-logging,11988162150400.000000
2020-02-09 03:00:00 +0000 UTC,2020-02-09 04:00:00 +0000 UTC,openshift-metering,1629634560.000000
2020-02-09 03:00:00 +0000 UTC,2020-02-09 04:00:00 +0000 UTC,tnhlex-dev,20223430656.000000
2020-02-09 04:00:00 +0000 UTC,2020-02-09 05:00:00 +0000 UTC,openshift-logging,12043967574016.000000
2020-02-09 04:00:00 +0000 UTC,2020-02-09 05:00:00 +0000 UTC,openshift-metering,1630126080.000000
2020-02-09 04:00:00 +0000 UTC,2020-02-09 05:00:00 +0000 UTC,tnhlex-dev,20234821632.000000
2020-02-09 05:00:00 +0000 UTC,2020-02-09 06:00:00 +0000 UTC,openshift-logging,12128619507712.000000
2020-02-09 05:00:00 +0000 UTC,2020-02-09 06:00:00 +0000 UTC,openshift-metering,1630126080.000000
2020-02-09 05:00:00 +0000 UTC,2020-02-09 06:00:00 +0000 UTC,tnhlex-dev,20246274048.000000
2020-02-09 06:00:00 +0000 UTC,2020-02-09 07:00:00 +0000 UTC,openshift-logging,12170120470528.000000
2020-02-09 06:00:00 +0000 UTC,2020-02-09 07:00:00 +0000 UTC,openshift-metering,1663811584.000000
2020-02-09 06:00:00 +0000 UTC,2020-02-09 07:00:00 +0000 UTC,tnhlex-dev,20257714176.000000
2020-02-09 07:00:00 +0000 UTC,2020-02-09 08:00:00 +0000 UTC,openshift-logging,12242951573504.000000
2020-02-09 07:00:00 +0000 UTC,2020-02-09 08:00:00 +0000 UTC,openshift-metering,1693286400.000000
2020-02-09 07:00:00 +0000 UTC,2020-02-09 08:00:00 +0000 UTC,tnhlex-dev,20269187072.000000
2020-02-09 08:00:00 +0000 UTC,2020-02-09 09:00:00 +0000 UTC,openshift-logging,12303887294464.000000
2020-02-09 08:00:00 +0000 UTC,2020-02-09 09:00:00 +0000 UTC,openshift-metering,1693286400.000000
2020-02-09 08:00:00 +0000 UTC,2020-02-09 09:00:00 +0000 UTC,tnhlex-dev,20280676352.000000
